experiment,model,feature_removed_in_all_folds
hand_picked_importance,COGS,COGS_lag_14
hand_picked_importance,order_count,order_count_lag_14
hand_picked_importance,AOV,AOV_rolling_mean_7
hand_picked_importance,cogs_ratio,cogs_ratio_yoy_lag_mean
top_10,Revenue,order_count_lag_7
top_10,COGS,COGS_lag_14
top_10,order_count,order_count_lag_14
top_10,AOV,AOV_rolling_mean_7
top_10,cogs_ratio,cogs_ratio_yoy_lag_mean
top_8,Revenue,Revenue_lag_7
top_8,Revenue,order_count_lag_7
top_8,COGS,COGS_lag_14
top_8,COGS,COGS_lag_30
top_8,order_count,order_count_lag_14
top_8,order_count,order_count_rolling_std_7
top_8,AOV,AOV_rolling_mean_7
top_8,cogs_ratio,cogs_ratio_lag_364
top_8,cogs_ratio,cogs_ratio_lag_365
top_8,cogs_ratio,cogs_ratio_lag_366
top_8,cogs_ratio,cogs_ratio_yoy_lag_mean
top_6,Revenue,Revenue_lag_365
top_6,Revenue,Revenue_lag_7
top_6,Revenue,order_count_lag_7
top_6,Revenue,order_count_seasonal_base
top_6,COGS,COGS_lag_14
top_6,COGS,COGS_lag_30
top_6,COGS,COGS_lag_364
top_6,COGS,COGS_lag_7
top_6,COGS,COGS_rolling_std_7
top_6,order_count,order_count_lag_14
top_6,order_count,order_count_lag_30
top_6,order_count,order_count_lag_365
top_6,order_count,order_count_lag_366
top_6,order_count,order_count_rolling_std_7
top_6,AOV,AOV_lag_364
top_6,AOV,AOV_lag_365
top_6,AOV,AOV_lag_366
top_6,AOV,AOV_rolling_mean_7
top_6,cogs_ratio,cogs_ratio_lag_364
top_6,cogs_ratio,cogs_ratio_lag_365
top_6,cogs_ratio,cogs_ratio_lag_366
top_6,cogs_ratio,cogs_ratio_yoy_lag_mean
remove_low_importance,Revenue,order_count_lag_7
remove_low_importance,COGS,COGS_lag_14
remove_low_importance,COGS,COGS_lag_30
remove_low_importance,order_count,order_count_lag_14
remove_low_importance,order_count,order_count_rolling_std_7
remove_low_importance,AOV,AOV_rolling_mean_7
remove_low_importance,cogs_ratio,cogs_ratio_lag_364
remove_low_importance,cogs_ratio,cogs_ratio_lag_365
remove_low_importance,cogs_ratio,cogs_ratio_lag_366
remove_low_importance,cogs_ratio,cogs_ratio_yoy_lag_mean
remove_redundant_obvious,COGS,COGS_lag_364
remove_redundant_obvious,COGS,COGS_lag_366
remove_redundant_obvious,order_count,order_count_lag_365
remove_redundant_obvious,AOV,AOV_lag_364
remove_redundant_obvious,AOV,AOV_lag_365
remove_redundant_obvious,cogs_ratio,cogs_ratio_lag_366
remove_redundant_obvious,cogs_ratio,cogs_ratio_yoy_lag_mean
